,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TokenEmbedding,sample_run,200.000000,200.000000,200.000000,2194.886000,4812.348000,0.000000,2194.886000,9624.698000,0.000000,1300161.750000,1270775.028000,24573.992000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmbeddingSparse,sample_run,200.000000,200.000000,200.000000,0.000000,0.000000,0.000000,0.000000,32.858000,0.000000,1300161.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,sample_run,19784.812000,9892.406000,9892.406000,0.000000,0.000000,0.000000,0.000000,1143.254000,2194.886000,1300161.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K1,sample_run,19784.812000,9892.406000,9892.406000,0.000000,0.000000,0.000000,0.000000,1143.254000,0.000000,1300161.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1,sample_run,19784.812000,9892.406000,9892.406000,0.000000,0.000000,0.000000,0.000000,1143.254000,0.000000,1300161.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QK1,sample_run,1190.064000,595.032000,595.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1300161.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
softmax1,sample_run,1190.064000,595.032000,595.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1300161.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concat1,sample_run,19784.812000,9892.406000,9892.406000,4389.772000,0.000000,0.000000,4389.772000,1143.254000,0.000000,1300161.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xw1b1,sample_run,79139.248000,39569.624000,39569.624000,0.000000,0.000000,0.000000,0.000000,4554.638000,2194.886000,1300161.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xw2b1,sample_run,79139.248000,39569.624000,39569.624000,4389.772000,0.000000,0.000000,4389.772000,4554.638000,0.000000,1300161.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
